species,media,element,locus_tag,old_locus_tag,gene_name,product,uniProt,TAs_in_orf,ins_in_orf,TAs_hit,MRC_orf,max_run_nonIns_Gumbel,nucs_in_max_run_nonIns_Gumbel,post_prob_essentiality_Gumbel,Gumbel,ES_sites_HMM,GD_sites_HMM,NE_sites_HMM,GA_sites_HMM,HMM,consistency_TA_HMM,probES,probGD,probNE,probGA,confidence_score_HMM,flag_HMM,start,end,overlapping_orf,embedded_orf,meanMAPQ,sequencelength_nt,HMM_mod,HMM_essentiality_call_agreement,Gumbel_essentiality_call_agreement,final_essentiality_call_agreement,eggNOG_OGs_Bacteroidetes,eggNOG_OGs_Bacteria,eggNOG_OGs_Bacteroidia,EggNOG_PFAMs,eggNOG_OGs,EggNOG_KEGG_Pathway,EggNOG_KEGG_Module,EggNOG_KEGG_ko,EggNOG_GOs,EggNOG_COG_category,n_species_per_OG,n_calls_per_OG,essentiality_across,max_prob,max_prob_column,final_call_240817,unified_final_call_240817
uniformis,liquid,gene,BU_ATCC8492_00006,BACUNI_01747,blank,hypothetical protein,A7V2F6,12,9,0.75,32,1,2,0,not_essential,0,0,12,0,not_essential,1,0,0.851547,0.120798,0.027655,0.1208,low-confidence,9582,9797,FALSE,FALSE,37.1269795696325,215,not_essential,not_essential,not_essential,not_essential,4NSAU,32TQH,2FTTD,-,"2D860@1|root,32TQH@2|Bacteria,4NSAU@976|Bacteroidetes,2FTTD@200643|Bacteroidia,4ARUI@815|Bacteroidaceae",-,-,-,-,-,2,1,not_essential,0.851547,probGD,not_essential,not_essential
uniformis,solid,gene,BU_ATCC8492_00006,BACUNI_01747,blank,hypothetical protein,A7V2F6,12,10,0.8333,64.4,1,2,0,not_essential,0,0,12,0,not_essential,1,0,0.005275,0.832468,0.162256,0.8325,NA,9582,9797,FALSE,FALSE,33.9933218691117,215,not_essential,not_essential,not_essential,not_essential,4NSAU,32TQH,2FTTD,-,"2D860@1|root,32TQH@2|Bacteria,4NSAU@976|Bacteroidetes,2FTTD@200643|Bacteroidia,4ARUI@815|Bacteroidaceae",-,-,-,-,-,2,1,not_essential,0.832468,probNE,not_essential,not_essential
uniformis,liquid,gene,BU_ATCC8492_00007,BACUNI_01748,blank,hypothetical protein,A7V2F7,10,9,0.9,100.89,1,2,-1,too_short,0,0,10,0,not_essential,1,0,1.9E-05,0.820001,0.17998,0.82,NA,9809,10030,FALSE,FALSE,36.8135539334159,221,not_essential,not_essential,too_short,not_essential,4NSUF,32TVV,2FTVM,-,"2BZ20@1|root,32TVV@2|Bacteria,4NSUF@976|Bacteroidetes,2FTVM@200643|Bacteroidia,4ARQW@815|Bacteroidaceae",-,-,-,-,S,2,1,not_essential,0.820001,probNE,not_essential,not_essential
uniformis,solid,gene,BU_ATCC8492_00007,BACUNI_01748,blank,hypothetical protein,A7V2F7,10,10,1,76.1,0,0,-1,too_short,0,0,10,0,not_essential,1,0,7.9E-05,0.832361,0.16756,0.8324,NA,9809,10030,FALSE,FALSE,38.5931847296304,221,not_essential,not_essential,too_short,not_essential,4NSUF,32TVV,2FTVM,-,"2BZ20@1|root,32TVV@2|Bacteria,4NSUF@976|Bacteroidetes,2FTVM@200643|Bacteroidia,4ARQW@815|Bacteroidaceae",-,-,-,-,S,2,1,not_essential,0.832361,probNE,not_essential,not_essential
uniformis,liquid,gene,BU_ATCC8492_00008,HQ45_01945,blank,PcfK-like protein,A7V2F8,14,13,0.9286,71.46,1,2,0,not_essential,0,0,14,0,not_essential,1,0,0.022254,0.806631,0.171115,0.8066,NA,10054,10473,TRUE,FALSE,36.5587849115737,419,not_essential,not_essential,not_essential,not_essential,4NHK3,2ZAB1,2FMYR,PcfK,"28KU3@1|root,2ZAB1@2|Bacteria,4NHK3@976|Bacteroidetes,2FMYR@200643|Bacteroidia,22YBE@171551|Porphyromonadaceae",-,-,-,-,S,3,1,not_essential,0.806631,probNE,not_essential,not_essential
uniformis,solid,gene,BU_ATCC8492_00008,HQ45_01945,blank,PcfK-like protein,A7V2F8,14,11,0.7857,55.36,1,2,0,not_essential,0,0,14,0,not_essential,1,0,0.055804,0.79033,0.153866,0.7903,NA,10054,10473,TRUE,FALSE,32.1202926776453,419,not_essential,not_essential,not_essential,not_essential,4NHK3,2ZAB1,2FMYR,PcfK,"28KU3@1|root,2ZAB1@2|Bacteria,4NHK3@976|Bacteroidetes,2FMYR@200643|Bacteroidia,22YBE@171551|Porphyromonadaceae",-,-,-,-,S,3,1,not_essential,0.79033,probNE,not_essential,not_essential
uniformis,liquid,gene,BU_ATCC8492_00009,BACUNI_01750,blank,PcfJ-like protein,A7V2F9,57,48,0.8421,49.54,2,24,0,not_essential,0,0,57,0,not_essential,1,0,0.481882,0.425683,0.092435,0.4257,ambiguous,10470,11735,TRUE,FALSE,39.8942855239933,1265,not_essential,not_essential,not_essential,not_essential,4NFNV,2Z9FZ,2FMFK,PcfJ,"28JQ1@1|root,2Z9FZ@2|Bacteria,4NFNV@976|Bacteroidetes,2FMFK@200643|Bacteroidia,4AKH0@815|Bacteroidaceae",-,-,-,-,S,3,1,not_essential,0.481882,probGD,not_essential,not_essential
uniformis,solid,gene,BU_ATCC8492_00009,BACUNI_01750,blank,PcfJ-like protein,A7V2F9,57,46,0.807,63.33,4,89,0,not_essential,0,0,57,0,not_essential,1,0,0.007677,0.830811,0.161512,0.8308,NA,10470,11735,TRUE,FALSE,39.9532848247292,1265,not_essential,not_essential,not_essential,not_essential,4NFNV,2Z9FZ,2FMFK,PcfJ,"28JQ1@1|root,2Z9FZ@2|Bacteria,4NFNV@976|Bacteroidetes,2FMFK@200643|Bacteroidia,4AKH0@815|Bacteroidaceae",-,-,-,-,S,3,1,not_essential,0.830811,probNE,not_essential,not_essential
uniformis,liquid,gene,BU_ATCC8492_00010,BACUNI_01751,blank,hypothetical protein,A7V2G0,8,7,0.875,35,1,2,0,not_essential,0,0,8,0,not_essential,1,0,0.767277,0.189549,0.043174,0.1895,low-confidence,11760,12017,FALSE,FALSE,41.8811556388352,257,not_essential,not_essential,not_essential,not_essential,4NS25,313AM,2G3B3,-,"2BGWU@1|root,313AM@2|Bacteria,4NS25@976|Bacteroidetes,2G3B3@200643|Bacteroidia,4AWCV@815|Bacteroidaceae",-,-,-,-,-,1,1,not_essential,0.767277,probGD,not_essential,not_essential
uniformis,solid,gene,BU_ATCC8492_00010,BACUNI_01751,blank,hypothetical protein,A7V2G0,8,6,0.75,97.17,2,51,0,not_essential,0,0,8,0,not_essential,1,0,0,0.825413,0.174587,0.8254,NA,11760,12017,FALSE,FALSE,41.9005111337823,257,not_essential,not_essential,not_essential,not_essential,4NS25,313AM,2G3B3,-,"2BGWU@1|root,313AM@2|Bacteria,4NS25@976|Bacteroidetes,2G3B3@200643|Bacteroidia,4AWCV@815|Bacteroidaceae",-,-,-,-,-,1,1,not_essential,0.825413,probNE,not_essential,not_essential
uniformis,liquid,gene,BU_ATCC8492_00011,HQ45_01960,blank,Protein of unknown function DUF3873,NA,7,4,0.5714,86.5,1,2,0,not_essential,0,0,7,0,not_essential,1,0,0.002089,0.824525,0.173386,0.8245,NA,12049,12267,TRUE,FALSE,39.5774886948274,218,not_essential,not_essential,not_essential,not_essential,4NSIP,32VF2,2FTWX,DUF3873,"2DZP0@1|root,32VF2@2|Bacteria,4NSIP@976|Bacteroidetes,2FTWX@200643|Bacteroidia,230JF@171551|Porphyromonadaceae",-,-,-,-,S,2,1,not_essential,0.824525,probNE,not_essential,not_essential
uniformis,solid,gene,BU_ATCC8492_00011,HQ45_01960,blank,Protein of unknown function DUF3873,NA,7,5,0.7143,170.2,1,2,0,not_essential,0,0,7,0,not_essential,1,0,0,0.68954,0.31046,0.6895,ambiguous,12049,12267,TRUE,FALSE,35.4489070302733,218,not_essential,not_essential,not_essential,not_essential,4NSIP,32VF2,2FTWX,DUF3873,"2DZP0@1|root,32VF2@2|Bacteria,4NSIP@976|Bacteroidetes,2FTWX@200643|Bacteroidia,230JF@171551|Porphyromonadaceae",-,-,-,-,S,2,1,not_essential,0.68954,probNE,not_essential,not_essential
uniformis,liquid,gene,BU_ATCC8492_00012,BACUNI_01753,blank,hypothetical protein,A7V2G2,11,10,0.9091,59.2,1,2,0,not_essential,0,0,11,0,not_essential,1,0,0.168436,0.68495,0.146615,0.6849,NA,12207,12512,TRUE,FALSE,41.8989018516347,305,not_essential,not_essential,not_essential,not_essential,4NQYN,329GN,2FT6V,-,"2BFN9@1|root,329GN@2|Bacteria,4NQYN@976|Bacteroidetes,2FT6V@200643|Bacteroidia,4ARH1@815|Bacteroidaceae",-,-,-,-,-,2,1,not_essential,0.68495,probNE,not_essential,not_essential
uniformis,solid,gene,BU_ATCC8492_00012,BACUNI_01753,blank,hypothetical protein,A7V2G2,11,8,0.7273,54,2,48,0,not_essential,0,0,11,0,not_essential,1,0,0.086962,0.764607,0.148431,0.7646,NA,12207,12512,TRUE,FALSE,41.6288159794158,305,not_essential,not_essential,not_essential,not_essential,4NQYN,329GN,2FT6V,-,"2BFN9@1|root,329GN@2|Bacteria,4NQYN@976|Bacteroidetes,2FT6V@200643|Bacteroidia,4ARH1@815|Bacteroidaceae",-,-,-,-,-,2,1,not_essential,0.764607,probNE,not_essential,not_essential
uniformis,liquid,gene,BU_ATCC8492_00013,BACUNI_01754,blank,hypothetical protein,A7V2G3,9,7,0.7778,123.57,1,2,0,not_essential,0,0,9,0,not_essential,1,0,0,0.808007,0.191993,0.808,NA,12566,12874,FALSE,FALSE,39.5575887667006,308,not_essential,not_essential,not_essential,not_essential,4NNJK,30H2V,2G38T,-,"28P3F@1|root,30H2V@2|Bacteria,4NNJK@976|Bacteroidetes,2G38T@200643|Bacteroidia,4AWBV@815|Bacteroidaceae",-,-,-,-,-,1,1,not_essential,0.808007,probNE,not_essential,not_essential
uniformis,solid,gene,BU_ATCC8492_00013,BACUNI_01754,blank,hypothetical protein,A7V2G3,9,8,0.8889,123.12,1,2,0,not_essential,0,0,9,0,not_essential,1,0,0,0.795827,0.204173,0.7958,NA,12566,12874,FALSE,FALSE,40.409496075068,308,not_essential,not_essential,not_essential,not_essential,4NNJK,30H2V,2G38T,-,"28P3F@1|root,30H2V@2|Bacteria,4NNJK@976|Bacteroidetes,2G38T@200643|Bacteroidia,4AWBV@815|Bacteroidaceae",-,-,-,-,-,1,1,not_essential,0.795827,probNE,not_essential,not_essential
uniformis,liquid,gene,BU_ATCC8492_00014,BACUNI_01756,blank,hypothetical protein,A7V2G5,11,10,0.9091,89.7,1,2,-1,too_short,0,0,11,0,not_essential,1,0,0.000403,0.823092,0.176505,0.8231,NA,12991,13212,FALSE,FALSE,40.4447306931031,221,not_essential,not_essential,too_short,not_essential,4NSRH,32SVZ,2G2IP,-,"2ETW1@1|root,32SVZ@2|Bacteria,4NSRH@976|Bacteroidetes,2G2IP@200643|Bacteroidia",-,-,-,-,-,1,1,not_essential,0.823092,probNE,not_essential,not_essential
uniformis,solid,gene,BU_ATCC8492_00014,BACUNI_01756,blank,hypothetical protein,A7V2G5,11,10,0.9091,55.5,1,2,-1,too_short,0,0,11,0,not_essential,1,0,0.035677,0.805643,0.15868,0.8056,NA,12991,13212,FALSE,FALSE,37.5277547678469,221,not_essential,not_essential,too_short,not_essential,4NSRH,32SVZ,2G2IP,-,"2ETW1@1|root,32SVZ@2|Bacteria,4NSRH@976|Bacteroidetes,2G2IP@200643|Bacteroidia",-,-,-,-,-,1,1,not_essential,0.805643,probNE,not_essential,not_essential
uniformis,liquid,gene,BU_ATCC8492_00015,BACUNI_01757,blank,Lysozyme domain superfamily protein,A7V2G6,17,14,0.8235,31.5,2,27,0,not_essential,0,0,17,0,not_essential,1,0,0.828297,0.139563,0.03214,0.1396,low-confidence,13275,13802,TRUE,FALSE,39.3029709732002,527,not_essential,low-confidence_or_ambiguous,not_essential,not_essential,4NHIE,COG3772,2FQ7P,Phage_lysozyme,"COG3772@1|root,COG3772@2|Bacteria,4NHIE@976|Bacteroidetes,2FQ7P@200643|Bacteroidia,4AKS1@815|Bacteroidaceae",-,-,ko:K01185,-,S,3,1,not_essential,0.828297,probGD,not_essential,not_essential
uniformis,solid,gene,BU_ATCC8492_00015,BACUNI_01757,blank,Lysozyme domain superfamily protein,A7V2G6,17,13,0.7647,35.38,3,42,0,not_essential,0,0,17,0,not_essential,1,0,0.670439,0.273711,0.05585,0.2737,ambiguous,13275,13802,TRUE,FALSE,40.3306559958874,527,not_essential,low-confidence_or_ambiguous,not_essential,not_essential,4NHIE,COG3772,2FQ7P,Phage_lysozyme,"COG3772@1|root,COG3772@2|Bacteria,4NHIE@976|Bacteroidetes,2FQ7P@200643|Bacteroidia,4AKS1@815|Bacteroidaceae",-,-,ko:K01185,-,S,3,1,not_essential,0.670439,probGD,not_essential,not_essential
uniformis,liquid,gene,BU_ATCC8492_00016,BACUNI_01758,blank,Conjugative transposon protein TraQ/ bacteroidetes,A7V2G7,13,11,0.8462,89.27,1,2,0,not_essential,0,0,13,0,not_essential,1,0,0.000551,0.823668,0.175781,0.8237,NA,13799,14305,TRUE,FALSE,40.3172530254099,506,not_essential,not_essential,not_essential,not_essential,4NKY2,2ZAMS,2FP2C,DUF3872,"28M8P@1|root,2ZAMS@2|Bacteria,4NKY2@976|Bacteroidetes,2FP2C@200643|Bacteroidia,4ANMK@815|Bacteroidaceae",-,-,-,-,S,3,1,not_essential,0.823668,probNE,not_essential,not_essential
uniformis,solid,gene,BU_ATCC8492_00016,BACUNI_01758,blank,Conjugative transposon protein TraQ/ bacteroidetes,A7V2G7,13,11,0.8462,48.36,1,2,0,not_essential,0,0,13,0,not_essential,1,0,0.17105,0.692072,0.136878,0.6921,NA,13799,14305,TRUE,FALSE,39.9919716188975,506,not_essential,not_essential,not_essential,not_essential,4NKY2,2ZAMS,2FP2C,DUF3872,"28M8P@1|root,2ZAMS@2|Bacteria,4NKY2@976|Bacteroidetes,2FP2C@200643|Bacteroidia,4ANMK@815|Bacteroidaceae",-,-,-,-,S,3,1,not_essential,0.692072,probNE,not_essential,not_essential
uniformis,liquid,gene,BU_ATCC8492_00017,BACUNI_01759,dnaG_1,DNA primase,A7V2G8,21,15,0.7143,22.67,2,105,0,not_essential,0,0,21,0,not_essential,1,0,0.90354,0.077874,0.018587,0.0779,low-confidence,14305,15204,FALSE,FALSE,39.3206986300866,899,not_essential,low-confidence_or_ambiguous,not_essential,not_essential,4NH5X,COG0358,2FMS3,"Toprim_2,zf-CHC2","COG0358@1|root,COG0358@2|Bacteria,4NH5X@976|Bacteroidetes,2FMS3@200643|Bacteroidia,4AMNB@815|Bacteroidaceae",-,-,-,-,L,3,1,not_essential,0.90354,probGD,not_essential,not_essential
uniformis,solid,gene,BU_ATCC8492_00017,BACUNI_01759,dnaG_1,DNA primase,A7V2G8,21,15,0.7143,17.27,1,2,0,not_essential,0,0,21,0,not_essential,1,0,0.901223,0.080741,0.018036,0.0807,low-confidence,14305,15204,FALSE,FALSE,41.4844034501269,899,not_essential,low-confidence_or_ambiguous,not_essential,not_essential,4NH5X,COG0358,2FMS3,"Toprim_2,zf-CHC2","COG0358@1|root,COG0358@2|Bacteria,4NH5X@976|Bacteroidetes,2FMS3@200643|Bacteroidia,4AMNB@815|Bacteroidaceae",-,-,-,-,L,3,1,not_essential,0.901223,probGD,not_essential,not_essential
uniformis,liquid,gene,BU_ATCC8492_00018,BACUNI_01760,blank,Conjugative transposon/ TraO,A7V2G9,21,18,0.8571,30.11,1,2,0,not_essential,0,0,21,0,not_essential,1,0,0.82462,0.142339,0.033042,0.1423,low-confidence,15213,15788,FALSE,FALSE,41.9699119134833,575,not_essential,low-confidence_or_ambiguous,not_essential,not_essential,4NFVA,2Z9AW,2FPHI,TraO,"28JHB@1|root,2Z9AW@2|Bacteria,4NFVA@976|Bacteroidetes,2FPHI@200643|Bacteroidia,4APDX@815|Bacteroidaceae",-,-,-,-,S,2,1,not_essential,0.82462,probGD,not_essential,not_essential
uniformis,solid,gene,BU_ATCC8492_00018,BACUNI_01760,blank,Conjugative transposon/ TraO,A7V2G9,21,13,0.619,25,2,29,0,not_essential,0,0,21,0,not_essential,1,0,0.88851,0.091969,0.019521,0.092,low-confidence,15213,15788,FALSE,FALSE,40.6064575042665,575,not_essential,low-confidence_or_ambiguous,not_essential,not_essential,4NFVA,2Z9AW,2FPHI,TraO,"28JHB@1|root,2Z9AW@2|Bacteria,4NFVA@976|Bacteroidetes,2FPHI@200643|Bacteroidia,4APDX@815|Bacteroidaceae",-,-,-,-,S,2,1,not_essential,0.88851,probGD,not_essential,not_essential
uniformis,liquid,gene,BU_ATCC8492_00019,BACUNI_01762,blank,conjugative transposon protein TraN,A7V2H0,22,18,0.8182,50.28,1,2,0,not_essential,0,0,22,0,not_essential,1,0,0.477477,0.429544,0.092979,0.4295,ambiguous,15791,16777,FALSE,FALSE,41.698237378575,986,not_essential,not_essential,not_essential,not_essential,4NH1R,COG3504,2FMQ5,DUF4138,"COG3504@1|root,COG3504@2|Bacteria,4NH1R@976|Bacteroidetes,2FMQ5@200643|Bacteroidia,4AM07@815|Bacteroidaceae",-,-,-,-,U,3,1,not_essential,0.477477,probGD,not_essential,not_essential
uniformis,solid,gene,BU_ATCC8492_00019,BACUNI_01762,blank,conjugative transposon protein TraN,A7V2H0,22,18,0.8182,63.11,1,2,0,not_essential,0,0,22,0,not_essential,1,0,0.007842,0.830546,0.161612,0.8305,NA,15791,16777,FALSE,FALSE,41.6668612935458,986,not_essential,not_essential,not_essential,not_essential,4NH1R,COG3504,2FMQ5,DUF4138,"COG3504@1|root,COG3504@2|Bacteria,4NH1R@976|Bacteroidetes,2FMQ5@200643|Bacteroidia,4AM07@815|Bacteroidaceae",-,-,-,-,U,3,1,not_essential,0.830546,probNE,not_essential,not_essential
uniformis,liquid,gene,BU_ATCC8492_00020,BACUNI_01763,blank,conjugative transposon protein TraM,A7V2H2,39,31,0.7949,51.19,3,50,0,not_essential,0,0,39,0,not_essential,1,0,0.466172,0.439101,0.094728,0.4391,ambiguous,16847,18202,TRUE,FALSE,40.8049841143648,1355,not_essential,low-confidence_or_ambiguous,not_essential,not_essential,4NG2R,2Z7X2,2FMTP,Transposon_TraM,"28HNW@1|root,2Z7X2@2|Bacteria,4NG2R@976|Bacteroidetes,2FMTP@200643|Bacteroidia,4AKAR@815|Bacteroidaceae",-,-,-,-,S,3,1,not_essential,0.466172,probGD,not_essential,not_essential
