locus_tag	uniprot_id	string_protein_id
BU_ATCC8492_00055	A7V725	820.ERS852554_03917
BU_ATCC8492_00056	A7V724	820.ERS852554_00457
BU_ATCC8492_00057	A7V723	820.ERS852554_00458
BU_ATCC8492_00058	A7V722	820.ERS852554_00459
BU_ATCC8492_00059	A7V721	820.ERS852554_00460
BU_ATCC8492_00060	A7V720	820.ERS852554_00461
BU_ATCC8492_00061	A7V719	820.ERS852554_00462
BU_ATCC8492_00062	A7V716	820.ERS852554_00463
BU_ATCC8492_00063	A7V715	820.ERS852554_00464
BU_ATCC8492_00064	A7V713	820.ERS852554_00465
BU_ATCC8492_00065	A7V712	820.ERS852554_00466
BU_ATCC8492_00067	A7V711	820.ERS852554_01916
BU_ATCC8492_00068	A7V708	820.ERS852554_01915
BU_ATCC8492_00069	A7V707	820.ERS852554_01914
BU_ATCC8492_00070	A7V706	820.ERS852554_01913
BU_ATCC8492_00071	A7V705	820.ERS852554_01912
BU_ATCC8492_00072	A7V702	820.ERS852554_01911
BU_ATCC8492_00073	A7V700	820.ERS852554_01910
BU_ATCC8492_00074	A7V6Z8	820.ERS852554_01909
BU_ATCC8492_00075		820.ERS852554_01908
BU_ATCC8492_00076	A7V6Z7	820.ERS852554_01907
BU_ATCC8492_00077	A7V6Z6	820.ERS852554_01906
BU_ATCC8492_00078	A7V6Z5	820.ERS852554_01905
BU_ATCC8492_00079	A7V6Z4	820.ERS852554_01904
BU_ATCC8492_00080	A7V6Z3	820.ERS852554_01903
BU_ATCC8492_00081	A7V6Z1	820.ERS852554_01902
BU_ATCC8492_00082	A7V6Z0	820.ERS852554_01901
BU_ATCC8492_00083	A7V6Y9	820.ERS852554_01900
BU_ATCC8492_00084	A7V6Y8	820.ERS852554_01899
BU_ATCC8492_00085	A7V6Y7	820.ERS852554_01898
BU_ATCC8492_00086	A7V6Y6	820.ERS852554_02904
BU_ATCC8492_00087	A7V6Y5	820.ERS852554_01890
BU_ATCC8492_00088	A7V6Y4	820.ERS852554_01897
BU_ATCC8492_00089	A7V6Y3	820.ERS852554_01896
BU_ATCC8492_00090	A7V6Y2	820.ERS852554_01895
BU_ATCC8492_00091	A7V6Y0	820.ERS852554_01894
BU_ATCC8492_00092	A7V6X7	820.ERS852554_01893
BU_ATCC8492_00093	A7V6X3	820.ERS852554_01892
BU_ATCC8492_00094	A7V6X2	820.ERS852554_01891
BU_ATCC8492_00095	A7V6X1	820.ERS852554_01890
BU_ATCC8492_00096	A7V6W9	820.ERS852554_01889
BU_ATCC8492_00097	A7V6W8	820.ERS852554_01888
BU_ATCC8492_00098	A7V6W7	820.ERS852554_01887
BU_ATCC8492_00099	A7V6W6	820.ERS852554_01886
BU_ATCC8492_00100	A7V6W5	820.ERS852554_01885
BU_ATCC8492_00101	A7V6W4	820.ERS852554_01884
BU_ATCC8492_00102	A7V6W3	820.ERS852554_01883
BU_ATCC8492_00103	A7V6W2	820.ERS852554_01882
BU_ATCC8492_00104	A7V6W1	820.ERS852554_01881
BU_ATCC8492_00105	A7V6W0	820.ERS852554_01880
BU_ATCC8492_00106	A7V6V8	820.ERS852554_01879
BU_ATCC8492_00107	A7V6V7	820.ERS852554_01878
BU_ATCC8492_00108	A7V6V6	820.ERS852554_01877
BU_ATCC8492_00109	A7V6V5	820.ERS852554_01876
BU_ATCC8492_00110	A7V6V4	820.ERS852554_01875
BU_ATCC8492_00111	A7V6V2	820.ERS852554_01874
BU_ATCC8492_00112	A7V6V1	820.ERS852554_01873
BU_ATCC8492_00113	A7V6U9	820.ERS852554_01872
BU_ATCC8492_00114	A7V6U7	820.ERS852554_01871
BU_ATCC8492_00115	A7V6U6	820.ERS852554_01870
BU_ATCC8492_00116	A7V6U5	820.ERS852554_01869
BU_ATCC8492_00117	A7V6U4	820.ERS852554_01868
BU_ATCC8492_00118	A7V6U3	820.ERS852554_01867
BU_ATCC8492_00119	A7V6U2	820.ERS852554_01866
BU_ATCC8492_00120	A7V6U1	820.ERS852554_01865
BU_ATCC8492_00121	A7V6U0	820.ERS852554_01864
BU_ATCC8492_00122	A7V6T8	820.ERS852554_01863
BU_ATCC8492_00123	A7V6T7	820.ERS852554_01862
BU_ATCC8492_00124	A7V6T6	820.ERS852554_01861
BU_ATCC8492_00125	A7V6T5	820.ERS852554_01860
BU_ATCC8492_00126	A7V6T4	820.ERS852554_01859
BU_ATCC8492_00127	A7V6T3	820.ERS852554_01858
BU_ATCC8492_00128	A7V6T1	820.ERS852554_01857
BU_ATCC8492_00129	A7V6T0	820.ERS852554_01856
BU_ATCC8492_00130	A7V6S8	820.ERS852554_01855
BU_ATCC8492_00131	A7V6S6	820.ERS852554_01854
BU_ATCC8492_00132	A7V6S5	820.ERS852554_01853
BU_ATCC8492_00133	A7V6S4	820.ERS852554_01852
BU_ATCC8492_00134	A7V6S3	820.ERS852554_01851
BU_ATCC8492_00135	A7V6S2	820.ERS852554_01850
BU_ATCC8492_00136	A7V6S1	820.ERS852554_01849
BU_ATCC8492_00137	A7V6S0	820.ERS852554_01848
BU_ATCC8492_00138	A7V6R9	820.ERS852554_01847
BU_ATCC8492_00139	A7V6R8	820.ERS852554_01846
BU_ATCC8492_00140	A7V6R7	820.ERS852554_01845
BU_ATCC8492_00141	A7V6R6	820.ERS852554_01844
BU_ATCC8492_00142	A7V6R4	820.ERS852554_01843
BU_ATCC8492_00143	A7V6R3	820.ERS852554_01842
BU_ATCC8492_00144	A7V6R2	820.ERS852554_01841
BU_ATCC8492_00145	A7V6R1	820.ERS852554_01840
BU_ATCC8492_00146	A7V6R0	820.ERS852554_01839
BU_ATCC8492_00147	A7V6Q9	820.ERS852554_01838
BU_ATCC8492_00148	A7V6Q8	820.ERS852554_01837
BU_ATCC8492_00149	A7V6Q7	820.ERS852554_01836
BU_ATCC8492_00150	A7V6Q6	820.ERS852554_01835
BU_ATCC8492_00152	A7V6Q4	820.ERS852554_01834
BU_ATCC8492_00153	A7V6Q3	820.ERS852554_01833
BU_ATCC8492_00154	A7V6Q2	820.ERS852554_01832
BU_ATCC8492_00155	A7V6Q1	820.ERS852554_01831
BU_ATCC8492_00156	A7V6P9	820.ERS852554_01830
BU_ATCC8492_00157	A7V6P8	820.ERS852554_01829
BU_ATCC8492_00158	A7V6P7	820.ERS852554_01828
BU_ATCC8492_00159	A7V6P6	820.ERS852554_01827
BU_ATCC8492_00160	A7V6P4	820.ERS852554_01826
BU_ATCC8492_00161	A7V6P3	820.ERS852554_01825
BU_ATCC8492_00162	A7V6P2	820.ERS852554_01824
BU_ATCC8492_00163	A7V6P1	820.ERS852554_01823
BU_ATCC8492_00164	A7V6N9	820.ERS852554_01822
BU_ATCC8492_00165	A7V6N8	820.ERS852554_01821
BU_ATCC8492_00166	A7V6N7	820.ERS852554_01820
BU_ATCC8492_00167	A7V6N6	820.ERS852554_01819
BU_ATCC8492_00168	A7V6N5	820.ERS852554_01818
BU_ATCC8492_00169	A7V6N3	820.ERS852554_01817
BU_ATCC8492_00170	A7V6N2	820.ERS852554_01816
BU_ATCC8492_00171	A7V6N0	820.ERS852554_01815
BU_ATCC8492_00178	A7V6L9	820.ERS852554_03681
BU_ATCC8492_00179	A7V6L7	820.ERS852554_00462
BU_ATCC8492_00180	A7V6L6	820.ERS852554_02916
BU_ATCC8492_00181	A7V6L5	820.ERS852554_03930
BU_ATCC8492_00186	A7V6K8	820.ERS852554_00459
BU_ATCC8492_00187	A7V6K7	820.ERS852554_03220
BU_ATCC8492_00188	A7V6K4	820.ERS852554_01505
BU_ATCC8492_00195	A7V6J7	820.ERS852554_00354
BU_ATCC8492_00196	A7V2J4	820.ERS852554_03166
BU_ATCC8492_00197	A7V6J3	820.ERS852554_00354
BU_ATCC8492_00199	A7V6J2	820.ERS852554_00353
BU_ATCC8492_00200	A7V6J1	820.ERS852554_03210
BU_ATCC8492_00201	A7V6I7	820.ERS852554_00351
BU_ATCC8492_00202	A7V6I6	820.ERS852554_00349
BU_ATCC8492_00204	A7V6I4	820.ERS852554_03205
BU_ATCC8492_00205	A7V6I3	820.ERS852554_00346
BU_ATCC8492_00206	A7V6I2	820.ERS852554_00345
BU_ATCC8492_00207	A7V6I1	820.ERS852554_01064
BU_ATCC8492_00208	A7V6I0	820.ERS852554_03201
BU_ATCC8492_00209	A7V6H9	820.ERS852554_03200
BU_ATCC8492_00210	A7V6H8	820.ERS852554_00341
BU_ATCC8492_00211	A7V6H7	820.ERS852554_00340
BU_ATCC8492_00213	A7V6H5	820.ERS852554_00339
BU_ATCC8492_00214	A7V6H4	820.ERS852554_00338
BU_ATCC8492_00215	A7V6H3	820.ERS852554_03195
BU_ATCC8492_00216	A7V6H2	820.ERS852554_00335
BU_ATCC8492_00221	A7V6G6	820.ERS852554_01230
BU_ATCC8492_00224	A7V6G3	820.ERS852554_00390
BU_ATCC8492_00227	A7V6F9	820.ERS852554_00421
BU_ATCC8492_00236	A7V6E4	820.ERS852554_01156
BU_ATCC8492_00237	A7V6E1	820.ERS852554_03937
BU_ATCC8492_00238	A7V6E0	820.ERS852554_03939
BU_ATCC8492_00239	A7V6D9	820.ERS852554_00466
BU_ATCC8492_00240	A7V6D7	820.ERS852554_01814
BU_ATCC8492_00241	A7V6D6	820.ERS852554_01813
BU_ATCC8492_00242	A7V6D5	820.ERS852554_01812
BU_ATCC8492_00243	A7V6D4	820.ERS852554_01811
BU_ATCC8492_00244	A7V6D3	820.ERS852554_01810
BU_ATCC8492_00245	A7V6D2	820.ERS852554_01809
BU_ATCC8492_00246	A7V6D1	820.ERS852554_01808
BU_ATCC8492_00247	A7V6D0	820.ERS852554_01807
BU_ATCC8492_00248	A7V6C9	820.ERS852554_01806
BU_ATCC8492_00249	A7V6C8	820.ERS852554_01805
BU_ATCC8492_00250	A7V6C7	820.ERS852554_01804
BU_ATCC8492_00251	A7V6C6	820.ERS852554_01803
BU_ATCC8492_00252	A7V6C5	820.ERS852554_01802
BU_ATCC8492_00253	A7V6C4	820.ERS852554_01801
BU_ATCC8492_00254	A7V6C3	820.ERS852554_01800
BU_ATCC8492_00255	A7V6C2	820.ERS852554_01799
BU_ATCC8492_00256	A7V6C1	820.ERS852554_01798
BU_ATCC8492_00257	A7V6C0	820.ERS852554_01797
BU_ATCC8492_00258	A7V6B9	820.ERS852554_01796
BU_ATCC8492_00259	A7V6B8	820.ERS852554_01795
BU_ATCC8492_00260	A7V6B7	820.ERS852554_01794
BU_ATCC8492_00261	A7V6B6	820.ERS852554_01793
BU_ATCC8492_00262	A7V6B5	820.ERS852554_01792
BU_ATCC8492_00263	A7V6B4	820.ERS852554_01791
BU_ATCC8492_00264	A7V6B3	820.ERS852554_01790
BU_ATCC8492_00265	A7V6B2	820.ERS852554_01789
BU_ATCC8492_00266	A7V6B1	820.ERS852554_01788
BU_ATCC8492_00268	A7V6A8	820.ERS852554_01787
BU_ATCC8492_00269	A7V6A7	820.ERS852554_01786
BU_ATCC8492_00270	A7V6A6	820.ERS852554_01784
BU_ATCC8492_00271	A7V6A5	820.ERS852554_01783
BU_ATCC8492_00272	A7V6A3	820.ERS852554_01782
BU_ATCC8492_00273	A7V6A2	820.ERS852554_01781
BU_ATCC8492_00274	A7V6A1	820.ERS852554_01780
BU_ATCC8492_00275	A7V6A0	820.ERS852554_01779
BU_ATCC8492_00276	A7V699	820.ERS852554_01778
BU_ATCC8492_00277	A7V698	820.ERS852554_01777
BU_ATCC8492_00278	A7V695	820.ERS852554_02392
BU_ATCC8492_00284	A7V688	820.ERS852554_01776
BU_ATCC8492_00285	A7V687	820.ERS852554_01775
BU_ATCC8492_00286	A7V686	820.ERS852554_01774
BU_ATCC8492_00287	A7V685	820.ERS852554_01773
BU_ATCC8492_00288	A7V683	820.ERS852554_01771
BU_ATCC8492_00289	A7V682	820.ERS852554_01770
BU_ATCC8492_00290	A7V681	820.ERS852554_01769
BU_ATCC8492_00291	A7V680	820.ERS852554_01768
BU_ATCC8492_00292	A7V679	820.ERS852554_01767
BU_ATCC8492_00293	A7V678	820.ERS852554_01766
BU_ATCC8492_00294	A7V677	820.ERS852554_01765
BU_ATCC8492_00295	A7V676	820.ERS852554_01764
BU_ATCC8492_00296		820.ERS852554_01763
BU_ATCC8492_00297	A7V674	820.ERS852554_01762
BU_ATCC8492_00298	A7V673	820.ERS852554_01761
BU_ATCC8492_00299	A7V671	820.ERS852554_01760
BU_ATCC8492_00300	A7V670	820.ERS852554_01759
BU_ATCC8492_00301	A7V669	820.ERS852554_01758
BU_ATCC8492_00302	A7V668	820.ERS852554_01788
BU_ATCC8492_00303	A7V667	820.ERS852554_01801
BU_ATCC8492_00304	A7V666	820.ERS852554_01191
BU_ATCC8492_00305	A7V665	820.ERS852554_02328
BU_ATCC8492_00306	A7V664	820.ERS852554_02329
BU_ATCC8492_00307	A7V663	820.ERS852554_01788
BU_ATCC8492_00308	A7V662	820.ERS852554_02178
BU_ATCC8492_00309	A7V660	820.ERS852554_01757
BU_ATCC8492_00310	A7V659	820.ERS852554_01756
BU_ATCC8492_00311	A7V658	820.ERS852554_02871
BU_ATCC8492_00312	A7V657	820.ERS852554_02663
BU_ATCC8492_00313	A7V656	820.ERS852554_01467
BU_ATCC8492_00314	A7V655	820.ERS852554_01467
BU_ATCC8492_00315	A7V654	820.ERS852554_02839
BU_ATCC8492_00316	A7V653	820.ERS852554_01424
BU_ATCC8492_00317	A7V652	820.ERS852554_02861
BU_ATCC8492_00318	A7V651	820.ERS852554_02834
BU_ATCC8492_00319	A7V650	820.ERS852554_02833
BU_ATCC8492_00320	A7V649	820.ERS852554_02837
BU_ATCC8492_00321	A7V648	820.ERS852554_02836
BU_ATCC8492_00322	A7V647	820.ERS852554_02835
BU_ATCC8492_00323	A7V645	820.ERS852554_01467
BU_ATCC8492_00325	A7V643	820.ERS852554_00913
BU_ATCC8492_00326	A7V642	820.ERS852554_01435
BU_ATCC8492_00327	A7V641	820.ERS852554_01424
BU_ATCC8492_00328	A7V640	820.ERS852554_02829
BU_ATCC8492_00333	A7V634	820.ERS852554_01751
BU_ATCC8492_00334	A7V633	820.ERS852554_01750
BU_ATCC8492_00335	A7V632	820.ERS852554_01749
BU_ATCC8492_00336	A7V631	820.ERS852554_01748
BU_ATCC8492_00337	A7V630	820.ERS852554_01747
BU_ATCC8492_00338	A7V629	820.ERS852554_01746
BU_ATCC8492_00339	A7V628	820.ERS852554_01745
BU_ATCC8492_00340	A7V626	820.ERS852554_01744
BU_ATCC8492_00341	A7V625	820.ERS852554_01743
BU_ATCC8492_00342	A7V624	820.ERS852554_01742
BU_ATCC8492_00343	A7V622	820.ERS852554_01741
BU_ATCC8492_00346	A7V621	820.ERS852554_01738
BU_ATCC8492_00347	A7V620	820.ERS852554_01737
BU_ATCC8492_00348	A7V619	820.ERS852554_01736
BU_ATCC8492_00349	A7V617	820.ERS852554_01735
BU_ATCC8492_00350	A7V615	820.ERS852554_01734
BU_ATCC8492_00351	A7V614	820.ERS852554_01733
BU_ATCC8492_00352	A7V613	820.ERS852554_01732
BU_ATCC8492_00353	A7V612	820.ERS852554_01731
BU_ATCC8492_00354	A7V611	820.ERS852554_01730
BU_ATCC8492_00355	A7V610	820.ERS852554_01729
BU_ATCC8492_00356	A7V609	820.ERS852554_01728
BU_ATCC8492_00357	A7V608	820.ERS852554_01727
BU_ATCC8492_00358	A7V607	820.ERS852554_01726
BU_ATCC8492_00359	A7V606	820.ERS852554_01725
BU_ATCC8492_00360	A7V605	820.ERS852554_01724
BU_ATCC8492_00361	A7V604	820.ERS852554_01723
BU_ATCC8492_00362	A7V602	820.ERS852554_01722
BU_ATCC8492_00363	A7V5Z9	820.ERS852554_01721
BU_ATCC8492_00364	A7V5Z8	820.ERS852554_01720
BU_ATCC8492_00365	A7V5Z7	820.ERS852554_01719
BU_ATCC8492_00366	A7V5Z6	820.ERS852554_01718
BU_ATCC8492_00367	A7V5Z5	820.ERS852554_01717
BU_ATCC8492_00368	A7V5Z4	820.ERS852554_01716
BU_ATCC8492_00369	A7V5Z3	820.ERS852554_01715
BU_ATCC8492_00370		820.ERS852554_01714
BU_ATCC8492_00371	A7V5Z1	820.ERS852554_01713
BU_ATCC8492_00377	A7UXY3	820.ERS852554_00947
BU_ATCC8492_00378	A7UXY2	820.ERS852554_00948
BU_ATCC8492_00379	A7UXY1	820.ERS852554_00949
BU_ATCC8492_00380	A7UXY0	820.ERS852554_00950
BU_ATCC8492_00381	A7UXX9	820.ERS852554_00951
BU_ATCC8492_00382	A7UXX8	820.ERS852554_00952
BU_ATCC8492_00383	A7UXX7	820.ERS852554_00953
BU_ATCC8492_00384	A7UXX5	820.ERS852554_00954
BU_ATCC8492_00385	A7UXX4	820.ERS852554_00955
BU_ATCC8492_00386	A7UXX3	820.ERS852554_00956
BU_ATCC8492_00387		820.ERS852554_00957
BU_ATCC8492_00388	A7UXX1	820.ERS852554_00958
BU_ATCC8492_00389	A7UXX0	820.ERS852554_00959
BU_ATCC8492_00390	A7UXW9	820.ERS852554_00960
BU_ATCC8492_00391	A7UXW8	820.ERS852554_00961
BU_ATCC8492_00393	A7UXW5	820.ERS852554_00963
BU_ATCC8492_00394	A7UXW3	820.ERS852554_00964
BU_ATCC8492_00395	A7UXW2	820.ERS852554_00965
BU_ATCC8492_00396	A7UXW0	820.ERS852554_00966
BU_ATCC8492_00397	A7UXV9	820.ERS852554_00967
BU_ATCC8492_00398	A7UXV8	820.ERS852554_00968
BU_ATCC8492_00399	A7UXV7	820.ERS852554_00969
BU_ATCC8492_00400	A7UXV6	820.ERS852554_00970
BU_ATCC8492_00401	A7UXV5	820.ERS852554_00971
BU_ATCC8492_00402	A7UXV4	820.ERS852554_00972
BU_ATCC8492_00403	A7UXV3	820.ERS852554_00973
BU_ATCC8492_00404	A7UXV2	820.ERS852554_00974
BU_ATCC8492_00405	A7UXV0	820.ERS852554_00975
BU_ATCC8492_00406	A7UXU9	820.ERS852554_00976
BU_ATCC8492_00407		820.ERS852554_00977
BU_ATCC8492_00408	A7UYI2	820.ERS852554_00978
BU_ATCC8492_00409	A7UYI3	820.ERS852554_00979
BU_ATCC8492_00410	A7UYI5	820.ERS852554_00980
BU_ATCC8492_00411	A7UYI6	820.ERS852554_00981
BU_ATCC8492_00412	A7UYI7	820.ERS852554_00982
BU_ATCC8492_00413	A7UYI8	820.ERS852554_00983
BU_ATCC8492_00414	A7UYI9	820.ERS852554_00984
BU_ATCC8492_00415	A7UYJ0	820.ERS852554_00985
BU_ATCC8492_00416	A7UYJ1	820.ERS852554_00986
BU_ATCC8492_00417	A7UYJ3	820.ERS852554_00987
BU_ATCC8492_00418	A7UYJ5	820.ERS852554_00988
BU_ATCC8492_00419	A7UYJ7	820.ERS852554_00989
BU_ATCC8492_00420	A7UYJ8	820.ERS852554_00990
BU_ATCC8492_00421	A7UYJ9	820.ERS852554_00991
BU_ATCC8492_00422	A7UYK0	820.ERS852554_00992
BU_ATCC8492_00423	A7UYK1	820.ERS852554_00993
BU_ATCC8492_00424	A7UYK2	820.ERS852554_00994
BU_ATCC8492_00425	A7UYK3	820.ERS852554_00995
BU_ATCC8492_00426	A7UYK4	820.ERS852554_00996
BU_ATCC8492_00427	A7UYK5	820.ERS852554_00997
BU_ATCC8492_00428	A7UYK6	820.ERS852554_00999
BU_ATCC8492_00429	A7UYK7	820.ERS852554_01000
BU_ATCC8492_00430	A7UYK8	820.ERS852554_01001
BU_ATCC8492_00431	A7UYK9	820.ERS852554_01002
BU_ATCC8492_00432	A7UYL1	820.ERS852554_01004
BU_ATCC8492_00433	A7UYL3	820.ERS852554_01005
BU_ATCC8492_00434	A7UYL4	820.ERS852554_01006
BU_ATCC8492_00435	A7UYL5	820.ERS852554_01007
BU_ATCC8492_00436	A7UYL6	820.ERS852554_01008
BU_ATCC8492_00437	A7UYL9	820.ERS852554_01009
BU_ATCC8492_00438	A7UYM0	820.ERS852554_01010
BU_ATCC8492_00439	A7UYM1	820.ERS852554_01011
BU_ATCC8492_00440	A7UYM2	820.ERS852554_01012
BU_ATCC8492_00441	A7UYM3	820.ERS852554_01013
BU_ATCC8492_00442	A7UYM5	820.ERS852554_01014
BU_ATCC8492_00443	A7UYM8	820.ERS852554_01015
BU_ATCC8492_00444	A7UYM9	820.ERS852554_01016
BU_ATCC8492_00445	A7UYN0	820.ERS852554_01017
BU_ATCC8492_00446	A7UYN1	820.ERS852554_01018
BU_ATCC8492_00447	A7UYN2	820.ERS852554_01019
BU_ATCC8492_00448	A7UYN3	820.ERS852554_01020
BU_ATCC8492_00449	A7UYN5	820.ERS852554_01021
BU_ATCC8492_00450	A7UYN7	820.ERS852554_01022
BU_ATCC8492_00451	A7UYN8	820.ERS852554_01023
BU_ATCC8492_00452	A7UYN9	820.ERS852554_01024
BU_ATCC8492_00455	A7UYP1	820.ERS852554_01175
BU_ATCC8492_00456	A7UYP2	820.ERS852554_01175
BU_ATCC8492_00457	A7UYP3	820.ERS852554_01176
BU_ATCC8492_00458	A7UYP4	820.ERS852554_01177
BU_ATCC8492_00459	A7UYP5	820.ERS852554_01178
BU_ATCC8492_00460	A7UYP6	820.ERS852554_01179
BU_ATCC8492_00461	A7UYP7	820.ERS852554_01180
BU_ATCC8492_00462	A7UYP9	820.ERS852554_01193
BU_ATCC8492_00463	A7UYQ0	820.ERS852554_01194
BU_ATCC8492_00464	A7UYQ1	820.ERS852554_01195
BU_ATCC8492_00465	A7UYQ2	820.ERS852554_01196
BU_ATCC8492_00466	A7UYQ3	820.ERS852554_01197
BU_ATCC8492_00467	A7UYQ4	820.ERS852554_01198
BU_ATCC8492_00468	A7UYQ6	820.ERS852554_01199
BU_ATCC8492_00469	A7UYQ7	820.ERS852554_01200
BU_ATCC8492_00470	A7UYQ8	820.ERS852554_01201
BU_ATCC8492_00471	A7UYR0	820.ERS852554_01202
BU_ATCC8492_00474	A7UYR1	820.ERS852554_01205
BU_ATCC8492_00475	A7UYR2	820.ERS852554_01206
BU_ATCC8492_00476	A7UYR3	820.ERS852554_01207
BU_ATCC8492_00477	A7UYR4	820.ERS852554_01208
BU_ATCC8492_00478	A7UYR5	820.ERS852554_01209
BU_ATCC8492_00479	A7UYR6	820.ERS852554_01210
BU_ATCC8492_00480	A7UYR7	820.ERS852554_01211
BU_ATCC8492_00481	A7UYR8	820.ERS852554_01212
BU_ATCC8492_00482	A7UYR9	820.ERS852554_01213
BU_ATCC8492_00483	A7UYS0	820.ERS852554_01214
BU_ATCC8492_00484	A7UYS1	820.ERS852554_01215
BU_ATCC8492_00485	A7UYS2	820.ERS852554_01216
BU_ATCC8492_00486	A7UYS3	820.ERS852554_01217
BU_ATCC8492_00487	A7UYS4	820.ERS852554_01218
BU_ATCC8492_00488	A7UYS5	820.ERS852554_01219
BU_ATCC8492_00489	A7UYS6	820.ERS852554_01220
BU_ATCC8492_00490	A7UYS7	820.ERS852554_01221
BU_ATCC8492_00491	A7UYS8	820.ERS852554_01222
BU_ATCC8492_00492	A7UYS9	820.ERS852554_01223
BU_ATCC8492_00493	A7UYT0	820.ERS852554_01224
BU_ATCC8492_00494	A7UYT1	820.ERS852554_01225
BU_ATCC8492_00495	A7UYT2	820.ERS852554_01226
BU_ATCC8492_00496	A7UYT4	820.ERS852554_01227
BU_ATCC8492_00497	A7UYT5	820.ERS852554_01228
BU_ATCC8492_00498	A7UYT6	820.ERS852554_01229
BU_ATCC8492_00499	A7UYT7	820.ERS852554_01230
BU_ATCC8492_00502	A7UY38	820.ERS852554_01231
BU_ATCC8492_00503	A7UY39	820.ERS852554_01232
BU_ATCC8492_00504	A7UY40	820.ERS852554_01233
BU_ATCC8492_00505	A7UY41	820.ERS852554_01234
BU_ATCC8492_00506	A7UY42	820.ERS852554_01235
BU_ATCC8492_00507	A7UY43	820.ERS852554_01236
BU_ATCC8492_00508	A7UY44	820.ERS852554_01237
BU_ATCC8492_00509		820.ERS852554_01238
BU_ATCC8492_00510	A7UY47	820.ERS852554_01239
BU_ATCC8492_00511	A7UY48	820.ERS852554_01240
BU_ATCC8492_00512	A7UY49	820.ERS852554_01241
BU_ATCC8492_00513	A7UY50	820.ERS852554_01242
BU_ATCC8492_00514	A7UY51	820.ERS852554_01243
BU_ATCC8492_00515	A7UY52	820.ERS852554_01244
BU_ATCC8492_00516	A7UY53	820.ERS852554_01245
BU_ATCC8492_00517	A7UY54	820.ERS852554_01246
BU_ATCC8492_00518	A7UY55	820.ERS852554_01247
BU_ATCC8492_00519	A7UY56	820.ERS852554_01248
BU_ATCC8492_00520	A7UY57	820.ERS852554_01249
BU_ATCC8492_00521	A7UY58	820.ERS852554_01250
BU_ATCC8492_00522	A7UY59	820.ERS852554_01251
BU_ATCC8492_00523	A7UY60	820.ERS852554_01252
BU_ATCC8492_00524	A7UY61	820.ERS852554_01253
BU_ATCC8492_00525	A7UY62	820.ERS852554_01254
BU_ATCC8492_00526	A7UY63	820.ERS852554_01255
BU_ATCC8492_00528	A7UY65	820.ERS852554_01257
